"Business Name","Website","Phone","Redeem Type"
"אלי היבש","https://www.elihubsch.com/jewelry-workshops","054-8009606","In-store"
"אליטל","https://elital.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1-700-70-50-40","Online"
"אליסיום עולם בריא לתינוקות","http://www.elysium-baby.com/","02-5420520","In-store"
"אלן קאר- מוציאים את הסיגריה מהראש","https://www.allencarr.co.il/","052-6285072","In-store"
"אלנתן תכשיטים","https://liaelnatan.com/","0543259070","In-store"
"אנו","http://www.anumuseum.org.il","035008080","In-store"
"אנסטסיה","https://www.anastasiatlv.co.il/","03-5290095","In-store"
"אנשי הזית- מוצרי פרימיום","http://www.oppl.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","08-9921299","In-store"
"אסטלה","https://www.estella.co.il/","051-5225475","In-store"
"אסטרל אילת","https://www.astralhotels.co.il/","08-6388848","In-store"
"אקסקלוסיב ריקודים","https://www.rondodance.co.il/","0503025568","In-store"
"ארגז מהכפר","https://argazkfar.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","052-3989933","Online"
"ארטפון","https://artp.co.il/","058-7405874","In-store"
"אריסטו שמט","http://www.aristo-shmat.co.il/","03-5188518","In-store"
"אריק לבנת","http://www.arik-livnat.com/","052-8908822","In-store"
"ארמאנני ספא","https://www.armanni.co.il/","08-6353542","In-store"
"ארקיע","https://www.arkia.co.il/he?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","*5758","Online"
"אשכר מטפחות לדתיות","https://www.eshkar.shop/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","055-3055618","Online"
"את","https://at4u.co.il/","1-800-200-234","In-store"
"בא מאהבה","https://simplylove.com/","050-2488842","In-store"
"באולינג 7","http://bowling7.co.il/","08-6232263","In-store"
"באלגן","http://ba-lagan.co.il/","04-9848989","In-store"
"באשר פרומוז'רי","https://www.basher.co.il/","5906*","In-store"
"בון סטריט","https://bone-street.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","035500300","Online"
"בוניטה דה מאס","https://www.bonitademas.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","08-9330568","Online"
"בועז שטיין","https://www.boaz-stein.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-3152525","Online"
"בוקא","http://www.bhuka-tours.com","053-3903431","In-store"
"בורגראנץ'","https://app.burgeranch.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"," 6575*","In-store"
"בטבע של בני - בצל התאנה","https://www.bennys-nature.com/","052-6124683","In-store"
"בטן מלאה","https://betenmelea.com/product/tlv/","055-9378595 וואטסאפ","In-store"
"ביאנקה","https://bianca-eilat.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0779800422","In-store"
"ביג אלקטריק","https://bigelectric.co.il/","6387*","In-store"
"ביג גרף","https://www.big-graf.co.il/","03-6967066","In-store"
"בייבי בוס טקסטיל","https://babybosstextile.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","052-6903555","Online"
"בייבי טבע","https://babyteva.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-5290910","In-store"
"בייבי ליס","https://www.babylis.co.il/","03-777-0003","In-store"
"בייבי שירי- פשוט להתפתח בכיף","http://baby-shiri.com","0526409087","In-store"
"בייביסטפס","https://baby-steps.co.il/?utm_source=&utm_medium=&utm_campaign=","+972523668165","In-store"
"ביצ'יקלטה","http://biciclettatlv.co.il/?fbclid=IwAR0rIMiHzXjf8Ry08FBmfUPjylonc6581pTcTtK-A9qAwPn_4BgF8FH-jSo","03-6433097","In-store"
"בירה אלכסנדר","http://alexander-beer.co.il/?page_id=71","074-7034094","In-store"
"בירה קלוצמן","https://www.klotsmanbeer.com/","052-9550514","In-store"
"בירליך","https://beerlich.com/","054-2179524","Online"
"בית המלאכה לקדרות","","0546533483","In-store"
"בית הספר - W","https://www.w-school.co.il/","072-395-1157","In-store"
"בית הרמזים","https://clues.world/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0544716134","Online"
"בית השנטי","https://shanti.org.il/","03-5103339","In-store"
"בית חנה","https://www.facebook.com/beithanna/","51-559-3721⁩0","In-store"
"בית לאמנות ישראלית","https://israeliart.co.il/","052-6460880","In-store"
"בית קנדינוף","https://kandinof.co.il/","03-6502938","In-store"
"ביתא קפה","https://www.betacaffe.co.il/","057-9443009","In-store"
"בל בוי ובטלר","https://bellboytlv.com/","03-7289213","In-store"
"בלו בנדנה","https://bluebandana.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-6021686","Online"
"בן אביטל מאלף כלבים","https://linktr.ee/bendog?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPOTM2NjE5NzQzMzkyNDU5AAGnqoAT0EkzTjD2XebP6mIE_ucs-LkDskuvzIpl40JyrBco_h_q8mEiZTlo9HM/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral_aem_t3DHTuuNAKUxBrQFqWHFjQ","0547595731","In-store"
"בן רוד","https://www.ben-rod.com/main?utm_source=google&utm_medium=cpc&utm_campaign=19929730018&utm_term=%D7%90%D7%9E%D7%9F%20%D7%97%D7%95%D7%A9%D7%99%D7%9D&utm_content=653686474795&gad_source=1&gad_campaignid=19929730018&gbraid=0AAAAAo7IO3jO1etM_USVCQcE1R6FF2g1w&gclid=CjwKCAiAwqHIBhAEEiwAx9cTedso4a6qT334uz7vPahGKHGKMuhPuOko_2TXVoe54xmGtp6ybIaPQxoCHFIQAvD_BwE","052-4814990","In-store"
"בקתה בלבן","https://biktabelavan.com//?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","050-4891665","In-store"
"בר איטליה","https://baritalia.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","09-7421113","Online"
"בר שר המשקאות","https://www.mashkaot.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-9271600","In-store"
"ברא צמחים","https://bara.co.il/","04-9899051","In-store"
"בש גל","https://www.bashgal.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-6156700","Online"
"ג'אסט מיוזיק","https://www.justmusic.co.il/","oz@justmusic.co.il","In-store"
"ג'ונגל","https://www.jungle-club.co.il/","03-6096626","In-store"
"ג'קו סטריט","http://www.rol.co.il/sites/jackos-street/","02-5817178","In-store"
"גבינות ברמות","http://www.gvinotberamot.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-4901992","Online"
"גוז' ודניאל - ביסטרו בכפר","https://goujeanddaniel.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","09-7714122","In-store"
"גורדון פדגוגיה חדשנית","https://gordon-hub.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","04-8590135","Online"
"גורו זוזו","https://www.guruzuzu.com/","0524423511","In-store"
"גורילה","https://ontopo.com/he/il/page/42058107","0774101422","In-store"
"גיגסי","https://giggsi.co.il/","08-6109109","In-store"
"גיל לוין","http://www.gillevene.co.il/","054-6446545","In-store"
"גיליגולי","https://giliguli.co.il/","0549337312","In-store"
"גל שוקרון","http://www.fashiontours.co.il","050-9163033","In-store"
"גלביה","https://www.gallabia.com/","052-3921938","In-store"
"גליאנו","https://www.galliano-tlv.co.il/","054-4704555","In-store"
"גלידריית פינגוין","https://pingwin-icecream.co.il/","09-9539494","In-store"
"גליליס","http://galilees.co.il/?utm_source=&utm_medium=&utm_campaign=","054-764-1515","In-store"
"גלים","http://www.galimsurf.com/","03-5175557","In-store"
"גלית ניניו","http://www.galitninio.com/","054-3332830","In-store"
"גלמפינג מיא","https://myacamp.co.il/","04-6656555","In-store"
"גלריית פחות מאלף","http://www.under1000.co.il/","03-6526061","In-store"
"גן סטודיו","https://gan-studio.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0555611668","Online"
"גסטון סטייק האוס","http://www.gaston-sh.co.il/","08-9265775","In-store"
"גראנד קפה","https://www.grand-cafe.co.il","02-5702702","In-store"
"גרג קיטשן","https://gregcafe.co.il/greg-group/kitchen//?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1-700-70-44-07","In-store"
"גרין רול סושי","https://thegreenroll.co.il/","03-5245713","In-store"
"גרפוס","https://www.graphos.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0558578507","In-store"
"גרקו והמעדניה היוונית של גרקו","http://www.greco.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-7411022","Online"
"ד""ר גב","https://www.dr-gav.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","039533111","Online"
"דאיה גסטהאוס","https://www.dayaguesthouse.com/","0522160112","In-store"
"דביר טרקטורונים מעופפים","http://dvirparagliding.co.il/","054-6554477","In-store"
"דה קרינה שוקולד","https://www.de-karina.co.il/","04-699-3629","In-store"
"דוניה רוסה","http://www.donarosa.co.il/","053-9345520","In-store"
"דורית בירמן","https://doritbirman.co.il/","0549225842","In-store"
"דיאדה","http://www.dyada.co.il/","050-6441081","In-store"
"דיזנגוף 223","https://www.223.co.il/","073-3745760","In-store"
"דייויס ואודי","http://www.davisbitton.com/","03-5449734","In-store"
"דלי אלהמברה","https://www.delialhambra.com/","052-3255370","In-store"
"דנדי","https://dandi.co.il//?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","09-8951919","In-store"
"דנה אשכנזי","https://www.danaashkenazi.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0544242509","Online"
"דנה ישראלי","https://danad.co.il/","050-2904372","In-store"
"דני בוי","https://daniboy.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0545350197","Online"
"דניאלה להבי","https://daniellalehavi.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-2224773","Online"
"דנית השכרת יאכטות","http://www.danit.co.il","052-3400128","In-store"
"דריה","https://www.daryatlv.com/","03-5202127","In-store"
"דריה ספא נתניה","https://argamanspa.co.il/ ","052-9707703","In-store"
"דרך היין","https://www.wineroute.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","8066*","In-store"
"האופרה הישראלית","http://www.israel-opera.co.il/","03-6927777","In-store"
"האקדמיה לפירות","https://www.perot4u.co.il/","03-5371854","In-store"
"האתר הסודי לשמלות מסתובבות","https://twirldress.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-3737117","Online"
"הבית בלימן","https://habait-beliman.co.il/","052-8872872","In-store"
"הבית של גיליגולי","https://giliguli.co.il/house-of-gili-guli//?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0544282529","In-store"
"הגפן","","0586609025","In-store"
"הדבש של עידו","https://www.ido-honey.co.il/","0523622620","In-store"
"הדרא","https://www.hadara.biz/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","052-4651507","Online"
"הדרומית","https://hadromit.papa-group.co.il/ ","050-3133285","In-store"
"הדרכות ""מחוברים בלב""","http://www.kochava.co.il/","054-4246480","In-store"
"הודיה טיבר","https://hodayataiber.com/","058-6643833","In-store"
"הולה","http://www.hula.co.il/","03-7321640","In-store"
"הזקן והיין","https://www.oldmanwine.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","052-3689671","In-store"
"החיות של דודו","https://www.dodos-animals.com/","054-9171105","In-store"
"החנות הורודה","https://www.brazilianswimwear.co.il/page/%D7%A8%D7%90%D7%A9%D7%99","050-7925264","In-store"
"הטרקלין","http://www.hatraklin.co.il/","03-5660013","In-store"
"היכל הקרח חולון","http://icepeaks.co.il/","03-5323008","In-store"
"היכל התרבות - איירפורט סיטי","http://www.heichal-hm.co.il/index.php","03-7230000","In-store"
"היכל התרבות אשקלון","https://www.htash.co.il/","08-6718777","In-store"
"הילולה","https://www.hillula.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0549044460","Online"
"המדריך לתיכוניסט - ליאל אלי","https://lieleli.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0549970555","Online"
"המחסן","https://www.hamahsan.shop/","0502545338","In-store"
"המטבח","https://www.hamitbach-online.co.il/","054-6691133","In-store"
"המלביה","https://www.hamalabiya.co.il/","03-5339343","In-store"
"הממלכה","http://thekingdom.co.il/","09-8946404","In-store"
"המעדניה היוונית של גרקו","https://www.greco.co.il/deli?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-7411022","In-store"
"המעשנה","http://www.hamaashena.co.il/","09-8945118","In-store"
"המרכז למיינדפולנס","https://mfn.co.il/?gclid=EAIaIQobChMIjIuk5ovj3wIVGM53Ch2H_QN8EAAYASAAEgLkwfD_BwE","072-3954444","In-store"
"המתססה","https://www.hamatsesa.com/home","טלפון 02-6235815 או 054-3903099","In-store"
"הנחלה ברמות","https://www.hanahala.co/","052-3780371","In-store"
"הסוד","https://www.hasod-wine.co.il/","0586609025","In-store"
"הסושיה","https://hasushia.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","9969*","In-store"
"הסטודיו לבישול","https://www.bishulon.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-303-8111","In-store"
"הספא במלון פרא","https://pereh.co.il/spa/","077-3641004","In-store"
"הספר הכחול","https://bluebook.co.il/?utm_source=&utm_medium=&utm_campaign=","073-3746825","In-store"
"העץ של יאשה","https://yashas-wood.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","052-3917777","Online"
"הצוללת הצהובה","http://yellowsubmarine.org.il/","02-6794040","In-store"
"הצנחניה","http://www.sky-jump.co.il/","073-224-8386","In-store"
"הקונדיטוריה של גל","https://www.galsbakery.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","04-8382928","Online"
"הקמפוס הדיגיטלי","https://www.askpavel.co.il/campus?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-2121120","Online"
"הקתדרה- מפגשים מהסוג האינטלקטואלי","https://www.katedra.co.il/","5288*","In-store"
"הראל קולדן- קורס לניהול כסף חכם","https://koldanh.school/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0543977417","Online"
"הרצאות מהכורסא","https://lecturesonline.co.il/","050-5630220","In-store"
"הרצל","https://www.facebook.com/hertzl.bar/?rf=129866770407317","08-9461448","In-store"
"השטיח האדום","https://www.carpetshop.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","3076*","Online"
"השף היושב","https://www.thesittingchef.co.il","054-7553333","In-store"
"התאילנדית בסמטת סיני","https://www.facebook.com/pg/thaiharsinai/about/?ref=page_internal","054-201-7132","In-store"
"התרבוש","https://www.tarbush.org/","03-5106076","In-store"
"התרנגול הכחול","https://thebluerooster.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-544-3349","In-store"
"ואהבת","http://www.ve-ahavta.co.il/","039044409","In-store"
"וואלי","http://www.walli.co.il/","072-2497498","In-store"
"וילה בכפר למרגלות הגלבוע","https://www.facebook.com/villabakfar","052-2661262","In-store"
"ויצק","https://www.weizac.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","077-6091796","In-store"
"וניה ביסטרו","http://venya-bistro.co.il/","04-6716272","In-store"
"זאוספא רמת גן","https://www.zeuspa.co.il/","03-6092017","In-store"
"זה סושי בזל - תל-אביב","http://www.zesushi.co.il/","1700-70-89-89","In-store"
"זוטא","https://zutadelli.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-5877500","Online"
"זיסל'ה","http://www.zicale.co.il/","052-6620666","In-store"
"זמארין","https://www.zamarin.co.il/","077-6141620","In-store"
"זמן ערבה","https://zmanarava.co.il/","050-9804545","In-store"
"זמן צעצוע","http://www.toys-museum.com/?utm_source=buyme","0509512312","In-store"
"חבל ארץ טיולים","https://hevel-eretz.co.il/","053-4595940","In-store"
"חברת אופקים תיירות נופש","https://www.ofakim.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","037622400","In-store"
"חגית טסה","https://hagitassa.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","050-5678211","Online"
"חוות צהלה","https://www.zahalafarm.co.il/","0556626773","In-store"
"חוות צוק- המסעדה","https://www.zuk-farm.co.il/","077-5155905","In-store"
"חוות רום","https://havatrom.co.il/","052-4457777","In-store"
"חוותות גבעת עדה","https://havatut.co.il/","055-9277729","In-store"
"חלי ממן","https://www.heli-group.co.il/","1-700-507-508","In-store"
"חמדתיה","http://hemdatya.co.il","04-6765550","In-store"
"חן במטבח","https://book.heninthekitchen.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0504444577","Online"
"חנות - משקפיים","","03-5402171","In-store"
"חנות בוטיק AYO","https://thisisayo.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-6988699","Online"
"חנות האוהדים של מכבי תל אביב","https://shop.maccabi.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","052-2187886","Online"
"חניות פיזיות : TERMINAL X","https://www.terminalx.com/women","03-7130000","In-store"
"חשמל נטו","http://www.netoneto.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1-599-50-50-66","In-store"
"טאטי ביסטרו","https://tatti-bistro.co.il/","03-5392500","In-store"
"טבע נאות","http://www.tevanaot.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0732120156","Online"
"טוהר קליינר","https://www.tohar-watertherapy.com/","050-8872006","In-store"
"טומוקה","https://www.tomoka.co.il/","054-9125524","In-store"
"טיטניום","https://www.titanium-suitcases.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-3000918","Online"
"טיליה","http://www.tilia.co.il/","072-2500493","In-store"
"טלי רוקני","http://www.talirokni.co.il/","0522220170","In-store"
"טלי שמחי","","50-753-2201⁩0","In-store"
"טעימים","https://www.teimim.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-3422229","Online"
"טרקטורוני עמק חפר","https://www.traktoronim.com/","050-7733335","In-store"
"טרקלין חשמל","https://www.traklin.co.il/","3383*","In-store"
"יאלהרנט-הבית שלכם לחופשה","http://www.yalarent.com/","077-9920280","In-store"
"יאסו","https://yassou.co.il/","03-603-1719","In-store"
"יהלומי הבורסה","https://www.diamondbourse.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","9744*","Online"
"יוגה צחוק","http://www.so-funny.co.il/","050-2867199","In-store"
"יוגה שאלה יפו","https://www.yogajaffa.com/?gclid=CjwKCAjww_iwBhApEiwAuG6ccPSe79MVxKpHcoU4yOlrL4dPQI3fJKBrW2wQ_lXPN9jRE4eLW7179xoCOywQAvD_BwE","054-7543030","In-store"
"יין בכרם","https://www.facebook.com/wine.bakarem/","054-5879300","In-store"
"ימה גלילות של שף יובל בן נריה","https://yamaonline.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","077-3034149","In-store"
"ימה קצבית דגים של שף יובל בן נריה","https://yamaonline.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","050-777-4779","In-store"
"יקב אלבר","https://alberwinery.com/","052-5104449","In-store"
"יקב אסף","http://www.assafwinery.com/","054-3915552","In-store"
"יקב בזלת","https://www.bazelet-hagolan.com/","04-6965010","In-store"
"יקב בזק","https://www.bazakwinery.com/","054-6306773","In-store"
"יקב בן זמרה","https://www.benzimrawinery.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","055-5570829","Online"
"יקב בן חיים","https://www.benhaim.co.il/","03-534-6748","In-store"
"יקב גוש עציון","https://gushetzion-winery.co.il/","0508911136","In-store"
"יקב דרימיה","https://drimia-winery.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0585325028","In-store"
"יקב הר אודם","https://harodem.co.il/shop/","052-6881110","In-store"
"יקב חיטים","http://www.chitim-winery.co.il","054-445-4646","In-store"
"יקב טוליפ ויקב מאיה","http://www.tulip-winery.co.il/","04-9830573","In-store"
"יקב לוינסון","https://www.lewinsohnwinery.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","054-388-4107","In-store"
"יקב לטם","http://lotemwinery.co.il","073-394-3305","In-store"
"יקב קטרון","https://kitronwinery.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","04-888-7577","In-store"
"יקב שדות","https://www.sadot-winery.com/","052-8446228","In-store"
"יקב תל שיפון","https://telshifonwinery.co.il/","-","In-store"
"יש לאן","http://www.nivut.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","1-700-502-512","Online"
"כיף האוס","https://www.keifhouse.com/index.php/he/","055-5003328","In-store"
"כיתן","http://www.golfco.co.il/","03-6451515","In-store"
"כלבו LOVE","","03-6319897","In-store"
"כפיר בולטין","https://kbolotin.com/","052-2202974","In-store"
"כפר הנופש דריה","https://www.kfarkinneret.co.il/","04-6656555","In-store"
"כפר הנוקדים","https://www.kfarhanokdim.co.il/","08-9950097","In-store"
"כרמל דיירקט","https://carmeldirect.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-3819177","Online"
"כרמלה","https://www.carmella.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","03-5162919","Online"
"כתר","https://il.keter.com/","1-700-70-60-15","In-store"
"לבנדר","http://www.lavender.co.il/","077-2127172","In-store"
"לה מוזה פטיסרי","https://www.facebook.com/lemuseepatisserie/?locale=he_IL"," 04-6224444","In-store"
"לה פטיסייר","https://lapatissiere.co.il/","02-560-6445","In-store"
"לובלינסקי","https://www.lublinsky.co.il/","03-9724813","In-store"
"לוטם דרעי","https://tabitisrael.co.il/%D7%94%D7%96%D7%9E%D7%A0%D7%AA-%D7%9E%D7%A7%D7%95%D7%9D/create-reservation?step=search&orgId=664b12fa2bd08c0c576ff81b&locale=he-IL&source=facebook&type=future_reservation","04-9999291","In-store"
"לוינסקי מרקט הוטל","https://www.lmarkethotel.com/","058-6464858","In-store"
"לי-ים","http://www.lee-yam.co.il/","077-5080537","In-store"
"ליאור מוצרי חשמל","https://www.lior-electric.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","050-5588630","Online"
"ליטל לוין","https://www.levin-center.com/","0546559296","In-store"
"לייזר טאג פולג- לוחמה אורבנית","https://www.lasertag-poleg.co.il/","5082*","In-store"
"לייזר סטריט","https://www.laserstreet.co.il/","0723717195","In-store"
"ליליה","https://shop-lilya.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","077-4447488","Online"
"לילית קוסמטיקה","https://www.lilit.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","  074-7468771.","Online"
"לינויה","https://linoyamitpahot.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0555642663","Online"
"לרקוד מהלב","https://www.levdance.co.il/about-us/","052-2235941","In-store"
"מאמאל'ה","https://mamale.co.il/?utm_source=&utm_medium=&utm_campaign=","0549491883","Online"
"מבשלת שריגים","http://www.srigim-beer.co.il/","052-6227679","In-store"
"מגבות אלכסנדר","https://www.alexandertowels.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral","0543998981","In-store"
"מגדל דוד","https://www.tod.org.il/","2884*","In-store"
