"Business Name","Website"
"מיני סטייליש","https://ministylish.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"מסעדות בנדיקט","http://www.benedict.co.il?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"מסעדת הספריה","https://hasifria.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"מצמן","https://www.matzman-merutz.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"מקדונלד'ס","https://www.mcdonalds.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"מקופלת","https://www.mekupelet.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"משלוחה","https://www.mishloha.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"משק 33","https://meshek33.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"משק אחיה","https://www.m-achiya.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"משתלת אזור","https://azurflowers.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"נאם","http://namrestaurant.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"נעלי נמרוד","https://www.nimrod.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"סורוצקין","https://jewishdeli.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"סטודיו עדי ניסני","https://adinissani.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"סמארט טויס","https://www.smart-toys.co.il//?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"סנדלי שורש","https://source-israel.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ספא טיפה אחרת","https://www.t-pa.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"סקיני פסטה","http://skinnypasta.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"עגליס","https://agalease-baby.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"עדה לזורגן","https://adahlazorgan.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"עליזהל'ה","https://alizaleh.co.il/?utm_source=buyme&utm_medium=giftcard&utm_campaign=pagelink"
"פאנקי פיש מתנות חוויתיות","https://il.funkyfish.com/?gclid=Cj0KCQiAt8WOBhDbARIsANQLp96v8xfUiTFdhd4hk0lEIw-zxE2KeXT0fy5Lors8sbdGOokpYaXF3_YaAjNAEALw_wcB&utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"פודסטפס","https://foodsteps.co.il/product-category/%D7%A1%D7%93%D7%A0%D7%90%D7%95%D7%AA-%D7%91%D7%99%D7%A9%D7%95%D7%9C/?gad_source=1&gad_campaignid=24134189677&gbraid=0AAAAADspVa9yUFoS9MVk2S0f0tiw5yWmr&gclid=CjwKCAjwqc_UBhBKEiwAWbl25v2Tk-Fic8Jowk-xFZLxN1VgLPol6F5vSa0qbQPULvNmDVW8gY_u_xoC-nkQAvD_BwE/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"פונפוני","https://www.ponponi.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"פלה דה תה","http://www.palaisdesthes.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"פנינה רוזנבלום","https://www.rosenblum.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"פפאיה","https://www.papaya.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"פתורה","https://www.ptora.co.il//?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"צ'ירז","https://cheers.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"צמר שטיחים יפים","https://tzemer.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"צעדים ראשונים","https://www.first-steps.co.il/he/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"צעצועי עוזי","https://uzi-toys.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"קאנטרי שיק","https://countrychic.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"קבוצת story","https://www.storyonline.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"קולומביה, שבילים ואווטסיידרס","https://columbia.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"קולנוע לב","http://www.lev.co.il/"
"קופסא מהשוק - BY חן קורן","https://boxfromjerus.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"קל גב","https://kalgav.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"קמפאי & CHI CHI","https://kampai.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"קמפאי סטריט ווק","https://kampaistreetwok.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"קפאסה","https://kepasa.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"קפה נואר","https://www.cafenoir.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"רהיטי קיסר","https://ergonomicoffice.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"רוזנבאום תכשיטים","https://www.rozenbaumj.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"רויטל כהן- האקדמיה לנומרולוגיה","https://itsrevitalcohen.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"רועי אלבה","https://roeielba.art/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"רשת דארלן","http://www.darlain.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"רשת למטייל","http://www.lametayel.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"רשת Bגוד","https://www.bgoodonline.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"שופרא","https://www.shoofra.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"שילב","http://www.shilav.co.il/"
"שלומית אופיר","https://shlomitofir.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"שני יעקובי","https://shanijacobi.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"שר המשקאות","http://www.mashkaot.co.il?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"תחביבן","https://takhbivan.co.il//?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"תיק התיקים","http://www.tikhatikim.co.il?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"תכשיטי דנון","https://danon-jewellery.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"תכשיטי חביב","https://havivjewelry.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ADSEA","https://adsea.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Afrodita","https://www.afrodita.co.il"
"AIMEE","https://aimeetlv.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ALDO","https://www.aldoshoes.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Alef Alef","https://www.alefalef.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"almaré","https://www.almareofficial.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ALTRA","https://altrarunning.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"AMA-LURRA","https://ama-lurra.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ARDO","https://ardo.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ARTERRA","https://artedterra.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ASK Q","https://www.askqbynoa.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ATA","https://atawear.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"BABY BREZZA","https://babybrezza.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"BABY STORY","https://babystory.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Babybjorn","https://www.babybjorn-israel.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Babystar","https://www.baby-star.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"BARBIZ","https://barbiz.shop/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"bbhugme","https://bbhugme.co.il//?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Biamba","https://biamba.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Biliblond","https://biliblond.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Bina & Bino","https://www.binaandbino.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"BLUEBERRY","https://blueberrytlv.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"BONIC","https://bonic.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"BOOSA & CO","https://boosa.co/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"BRANT","https://www.brant-studio.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Bugaboo","https://www.bugaboo-distributor.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"BUMPERS","https://bumpersisrael.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Buona Casa","https://buonacasa.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"BuyCarpet","https://www.buycarpet.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"byMemmis","https://bymemmis.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"BYNETA","https://byneta.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"C. baby group","https://cbabygroup.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"CADABRA","https://www.yaarit-jewelry.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"CAFE TAIZU","https://www.taizu.co.il/lunchmenu/%d7%a7%d7%a4%d7%94-%d7%98%d7%90%d7%99%d7%96%d7%95/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Callisto Art","https://callisto-art.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Camel Mountain","https://www.camelmountain.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"CANDLE CLUB","https://www.candle-club.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Carter's/Oshkosh","https://www.cartersoshkosh.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Casa Bella","http://Casabella.co.il?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"CASTRO","https://www.castro.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"CASTRO HOME","https://www.castro.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Ceramora","https://ceramora.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"chen keidar","https://chenkeidar.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"CHILL","https://www.chill-shop.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Choose Your Cookies","https://www.choose-your-cookies.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"CHOZEN","https://chozen.co.il/collections/brownie/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"CHRISTINA","https://www.christina.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"clearly","https://clearly.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"COCONUT LOVE","https://coconutlove.co/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"COTTON CLUB","https://cottonclub.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Creatures of Habit","https://cohjewelry.com/he?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Daisy mei","https://daisymei.co/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Danielle Gerber","https://daniellegerber.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Daphne Skin","https://daphneskin.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"DARYA","https://d-a-r-y-a.store/.co.il?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Daysy","https://daysy.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Dé Rococo","https://www.de-rococo.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Dixie","https://www.dixie.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Don't tell Mama","https://www.donttellmama-studio.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"DREAME","https://www.dreame-israel.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Eazy2gift","https://eazy2gift.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"econawa","https://econawa.co/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Ecosupp","https://ecosupp.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ELIT SWIMWEAR","https://elitswimwear.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"EMPORIUM","https://www.emporium.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ENERGYM","https://energym.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ERA  ACTIVE","https://www.era-active.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ÉVE PROMETICS","https://evepro.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Eye Glow","https://www.eyeglow.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Femina","https://femina.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"FESTIVE","https://festive.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"FINE RITUALS","https://www.fine-rituals.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Floralis","https://www.floralis.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"FLYBYFLY","https://www.flybyfly.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Food Appeal","https://www.foodappeal-online.com/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral/"
"FOOD TERMINAL","https://www.foodterminal.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"Foot Locker","https://footlocker.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"ForeverTold","https://forevertold.co.il/?utm_source=buyme&utm_medium=referral&utm_campaign=buyme_website_referral"
"FOX","http://www.fox.co.il"
"Fox Home","http://www.foxhome.co.il"
